type,id,nr,name,city
"station","8000785","382","Baldham","Vaterstetten"
"station","8000792","391","Baltersweiler","Namborn"
"station","8000788","386","Balingen Süd","Balingen "
"station","8000353","385","Balingen (Württ)","Balingen "
"station","8000797","400","Bantorf","Barsinghausen"
"station","8001549","396","Dortmund-Somborn","Dortmund"
"station","8000794","394","Bammental","Bammental"
"station","8000801","402","Bardowick","Bardowick"
"station","8000796","398","Banteln","Gronau  OT Banteln"
"station","8011095","406","Bärenstein (b Glashütte/Sachs)","Kurort Altenberg-Bärenst"
"station","8011091","403","Bärenhecke-Johnsbach","Glashütte-Bärenhecke"
"station","8000780","376","Bahrenfeld","Hamburg"
"station","8000774","371","Baden-Baden","Baden-Baden"
"station","8011093","405","Bärenklau","Oberkrämer-Bärenklau"
"station","8011111","410","Barleben","Barleben"
"station","8000808","415","Barnten","Nordstemmen OT Barnten"
"station","8011112","411","Barleber See","Barleben"
"station","8000807","414","Barnstorf (Han)","Barnstorf"
"station","8000810","416","Barrien","Syke"
"station","8011115","420","Barthmühle","Pöhl"
"station","8011116","421","Baruth (Mark)","Baruth (Mark) "
"station","8000354","425","Bassum","Bassum"
"station","8000822","427","Batzhausen","Seubersdorf"
"station","8000821","426","Batzenhäusle","Waldkirch"
"station","8000778","429","Bäumenheim","Bäumenheim"
"station","8000826","431","Baunach","Baunach"
"station","8000812","418","Barsinghausen","Barsinghausen"
"station","8000804","408","Bargteheide","Bargteheide"
"station","8000827","433","Bavendorf","Thomasburg"
"station","8000830","435","Bayerisch Eisenstein","Bayerisch Eisenstein"
"station","8000831","436","Bayerisch Gmain","Bayerisch Gmain"
"station","8000834","441","Bayrischzell","Bayrischzell"
"station","8011119","442","Bebitz","Könnern"
"station","8000840","446","Beckingen (Saar)","Beckingen (Saar)"
"station","8000029","443","Bebra","Bebra"
"station","8000832","437","Leverkusen Chempark","Köln"
"station","8000030","447","Bedburg (Erft)","Bedburg (Erft)"
"station","8000846","450","Beelen","Beelen"
"station","8000842","448","Bedburg-Hau","Bedburg-Hau"
"station","8001301","454","Burhafe","Wittmund-Burhafe"
"station","8010029","456","Beeskow","Beeskow"
"station","8011125","458","Beetz-Sommerfeld","Kremmen-Beetz"
"station","8000025","393","Bamberg","Bamberg"
"station","8000850","463","Behringersdorf","Schwaig"
"station","8013468","451","Beelitz Stadt","Beelitz Stadt"
"station","8000851","464","Beienheim","Reichelsheim (Wetterau)"
"station","8000859","469","Malsfeld-Beiseförth","Malsfeld-Beiseförth"
"station","8000858","468","Beimerstetten","Beimerstetten"
"station","8013467","452","Beelitz-Heilstätten","Beelitz"
"station","8000860","470","Beldorf","Beldorf"
"station","8011133","473","Belleben","Könnern"
"station","8011132","472","Belgershain","Belgershain"
"station","8000862","474","Bellenberg","Bellenberg"
"station","8000863","476","Bellheim","Bellheim"
"station","8011131","467","Beilrode","Beilrode"
"station","8010026","432","Bautzen","Bautzen"
"station","8000869","480","Benediktbeuern","Benediktbeuern"
"station","8000870","481","Bengel","Bengel"
"station","8000871","482","Bennemühlen","Wedemark"
"station","8000028","439","Bayreuth Hbf","Bayreuth"
"station","8011138","486","Bennungen","Bennungen"
"station","8010031","478","Bad Belzig","Belzig"
"station","8000865","479","Bempflingen","Bempflingen"
"station","8000872","483","Bennigsen","Springe"
"station","8011139","487","Benshausen","Benshausen"
"station","8000873","484","Benningen (Neckar)","Benningen am Neckar"
"station","8011140","490","Bentwisch","Bentwisch"
"station","8000882","491","Beratzhausen","Beratzhausen"
"station","8000885","495","Berchtesgaden Hbf","Berchtesgaden"
"station","8011144","496","Berga (Elster)","Berga/Elster"
"station","8010032","497","Berga-Kelbra","Berga"
"station","8000888","498","Bergen (Oberbay)","Bergen "
"station","8000877","489","Bensheim-Auerbach","Bensheim"
"station","8000889","500","Bergenweiler","Sontheim an der Brenz"
"station","8000892","504","Berghausen","Bad Berleburg"
"station","8080100","503","Bergfelde (b Berlin)","Hohen Neuendorf"
"station","8089005","475","Bellevue","Berlin"
"station","8000894","506","Berghausen (Pfalz)","Römerberg"
"station","8011149","515","Bergsdorf","Zehdenick"
"station","8010033","499","Bergen auf Rügen","Bergen (Rügen)"
"station","8011150","517","Bergwitz","Kemberg"
"station","8000902","516","Bergtheim","Bergtheim"
"station","8000905","521","Beringstedt","Beringstedt"
"station","8000904","520","Beringhausen","Marsberg"
"station","8011154","524","Berkenbrück","Berkenbrück"
"station","8000355","507","Bergheim (Erft)","Bergheim "
"station","8089004","430","Baumschulenweg","Berlin"
"station","8000805","412","Barmbek","Hamburg"
"station","8000031","488","Bensheim","Bensheim"
"station","8000899","512","Bergisch Gladbach","Bergisch Gladbach"
"station","8089011","529","Greifswalder Straße","Berlin"
"station","8089002","525","Berlin Anhalter Bahnhof","Berlin"
"station","8089013","526","Berlin Frankfurter Allee","Berlin"
"station","8089057","536","Berlin-Buch","Berlin"
"station","8089056","535","Berlin-Blankenburg","Berlin"
"station","8089024","532","Berlin-Nordbahnhof","Berlin"
"station","8089052","534","Berlin-Adlershof","Berlin"
"station","8089060","538","Berlin-Friedrichshagen","Berlin"
"station","8089062","541","Berlin-Grunewald","Berlin"
"station","8089061","539","Berlin-Frohnau","Berlin"
"station","8089063","540","Berlin-Grünau","Berlin"
"station","8010035","545","Berlin-Karlshorst","Berlin"
"station","8011306","527","Berlin-Friedrichstraße","Berlin"
"station","8011102","528","Berlin Gesundbrunnen","Berlin"
"station","8010255","530","Berlin Ostbahnhof","Berlin"
"station","8011046","546","Berlin-Karow","Berlin"
"station","8089068","547","Berlin-Kaulsdorf","Berlin"
"station","8089064","543","Berlin-Hermsdorf","Berlin"
"station","8089109","542","Berlin-Halensee","Berlin"
"station","8010406","533","Berlin Zoologischer Garten","Berlin"
"station","8011343","551","Berlin-Mahlsdorf","Berlin"
"station","8089074","552","Berlin-Marienfelde","Berlin"
"station","8011901","544","Berlin-Hohenschönhausen","Berlin"
"station","8010403","537","Berlin-Charlottenburg","Berlin"
"station","8089085","557","Berlin-Schlachtensee","Berlin"
"station","8089071","550","Berlin-Lichterfelde West","Berlin"
"station","8089069","548","Berlin-Köpenick","Berlin"
"station","8089084","556","Berlin-Rummelsburg","Berlin"
"station","8089075","553","Berlin-Marzahn","Berlin"
"station","8089087","560","Berlin-Schönholz","Berlin"
"station","8089088","563","Berlin-Spindlersfeld","Berlin"
"station","8013021","564","Berlin-Staaken","Berlin"
"station","8089095","567","Berlin-Wilhelmsruh","Berlin"
"station","8010405","566","Berlin-Wannsee","Berlin"
"station","8000909","570","Bermatingen-Ahausen","Bermatingen"
"station","8089080","555","Berlin-Pankow","Berlin"
"station","8089090","565","Berlin-Tempelhof","Berlin"
"station","8089077","554","Berlin-Neukölln","Berlin"
"station","8010036","549","Berlin-Lichtenberg","Berlin"
"station","8000911","572","Bernau a. Chiemsee","Bernau a. Chiemsee"
"station","8011169","575","Bernburg-Strenzfeld","Bernburg"
"station","8011170","576","Bernburg-Waldau Hp","Bernburg"
"station","8010043","573","Bernburg Hbf","Bernburg"
"station","8000913","577","Berne","Berne"
"station","8011172","580","Bernterode","Bernterode"
"station","8000918","578","Bernried","Bernried"
"station","8010044","583","Berthelsdorf (Erzgeb)","Weißenborn/Erzgebirge"
"station","8000919","581","Bersenbrück","Bersenbrück"
"station","8000923","587","Besch","Perl-Besch"
"station","8000921","585","Berzhahn","Berzhahn"
"station","8000926","589","Besseringen","Merzig"
"station","8013470","571","Bernau (b Berlin)","Bernau bei Berlin"
"station","8011173","590","Bestensee","Bestensee"
"station","8000928","596","Bettmannsäge","Regen"
"station","8000925","588","Besigheim","Besigheim"
"station","8000927","591","Bestwig","Bestwig"
"station","8000932","602","Beuggen","Rheinfelden (Baden)"
"station","8089006","592","Betriebsbahnhof Berlin-Rummelsburg","Berlin"
"station","8010046","599","Beucha","Brandis"
"station","8011178","604","Beuren","Leinefelde-Worbis"
"station","8000933","605","Beuron","Beuron"
"station","8011177","603","Beuna (Geiseltal)","Beuna (Geiseltal)"
"station","8000034","597","Betzdorf (Sieg)","Betzdorf "
"station","8011179","607","Beutersitz","Uebigau-Wahrenbrück"
"station","8011181","610","Beyendorf","Magdeburg"
"station","8000941","609","Bexbach","Bexbach"
"station","8000934","606","Beutelsbach","Weinstadt"
"station","8011183","615","Bibra","Bibra"
"station","8000942","612","Biberach (Baden)","Biberach "
"station","8089007","595","Johannisthal","Berlin"
"station","8000945","616","Bichl","Bichl"
"station","8000951","619","Biebesheim","Biebesheim"
"station","8000503","614","Biblis","Biblis"
"station","8000948","618","Bickenbach (Bergstr)","Bickenbach"
"station","8011184","624","Biendorf","Biendorf"
"station","8010047","621","Biederitz","Biederitz"
"station","8011185","626","Bienenmühle","Bienenmühle"
"station","8000955","625","Bienenbüttel","Bienenbüttel"
"station","8000357","627","Bierbach","Blieskastel"
"station","8000957","628","Bieren-Rödinghausen","Rödinghausen"
"station","8089474","558","Schöneberg","Berlin"
"station","8000696","630","Bad Aibling Kurpark","Bad Aibling"
"station","8000959","629","Bieringen","Rottenburg "
"station","8000943","613","Biberach (Riß)","Biberach (Riß)"
"station","8011187","632","Biesenrode","Mansfeld"
"station","8011188","633","Biesenthal","Biesenthal"
"station","8000963","635","Bietigheim (Baden)","Bietigheim"
"station","8000962","634","Biessenhofen","Biessenhofen"
"station","8000953","623","Bielefeld Ost","Bielefeld"
"station","8000965","637","Bietingen","Gottmadingen"
"station","8000967","640","Bildstock","Friedrichsthal"
"station","8000969","642","Billenhausen","Krumbach (Schwaben)"
"station","8000966","639","Bigge","Olsberg"
"station","8089055","631","Biesdorf","Berlin"
"station","8000970","643","Billerbeck","Billerbeck"
"station","8089098","568","Berlin-Zehlendorf","Berlin"
"station","8011190","647","Bindfelde","Stendal"
"station","8000974","648","Bindlach","Bindlach"
"station","8000973","645","Binau","Binau"
"station","8000978","652","Binolen","Balve"
"station","8000908","569","Berliner Tor","Hamburg"
"station","8011191","653","Ostseebad Binz","Binz"
"station","8000975","651","Bingen-Gaulsheim","Bingen-Gaulsheim"
"station","8010404","561","Berlin-Spandau","Berlin"
"station","8000971","644","Billwerder-Moorfleet","Hamburg"
"station","8010041","559","Berlin-Schöneweide Pbf","Berlin"
"station","8000983","655","Birkelbach","Erndtebrück"
"station","8004078","654","Monreal","Monreal"
"station","8000989","663","Birresborn","Birresborn"
"station","8000038","636","Bietigheim-Bissingen","Bietigheim-Bissingen"
"station","8000976","650","Bingen (Rhein) Stadt","Bingen "
"station","8070002","660","Birkenstein","Hoppegarten"
"station","8010048","662","Birkungen","Leinefelde-Worbis"
"station","8000984","656","Birkenau","Birkenau"
"station","8011199","665","Bischheim-Gersdorf","Haselbachtal"
"station","8000996","669","Maintal West","Maintal"
"station","8000997","672","Bischofswiesen","Bischofswiesen"
"station","8080190","661","Birkenwerder (b Berlin)","Birkenwerder"
"station","8080170","659","Birkengrund","Ludwigsfelde"
"station","8001828","678","Bitburg-Erdorf","Bitburg"
"station","8000999","674","Bisingen","Bisingen"
"station","8001002","679","Bittelbronn","Horb am Necker"
"station","8001003","681","Blaibach (Oberpf)","Blaibach "
"station","8010049","671","Bischofswerda","Bischofswerda"
"station","8000039","649","Bingen (Rhein) Hbf","Bingen "
