,EVA_NR,DS100,IFOPT,db_name,traffic,operator_name,operator_nr,status,distance,formatted,lat,lon,housenumber,name,street,postcode,district,suburb,county,state,state_code,city,country,country_code,attribution,attribution_license,attribution_url
1337,8001924,HETL,de:03361:26094,Etelsen,RV,DB Station und Service AG,1721,,9.978368836613601,Etelsen Am Etelser Bahnhof 7 27299 Langwedel Germany,52.9991949,9.1238935,7,Etelsen,Am Etelser Bahnhof,27299,Langwedel,,Landkreis Verden,Lower Saxony,,Langwedel,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1338,8001925,NET,de:09375:557,Etterzhausen,RV,DB Station und Service AG,1724,,29.946846985497565,Bahnhofstraﬂe 9 93152 Nittendorf Germany,49.03089275,11.977539750943397,9,,Bahnhofstraﬂe,93152,Nittendorf,,Landkreis Regensburg,Bavaria,,Nittendorf,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyrightnan
1339,8001926,RETL,de:08215:1840,Ettlingen West,RV,DB Station und Service AG,1725,,5.162223526363067,Ettlingen West Lorenzstraﬂe 76275 Ettlingen Germany,48.9471361,8.3878674,,Ettlingen West,Lorenzstraﬂe,76275,Ettlingen,West,Landkreis Karlsruhe,Baden-W¸rttemberg,BW,Ettlingen,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1340,8001928,EEZB,de:07132:090370,Etzbach,RV,DB Station und Service AG,1726,,3.851515425183388,Industriepark 57539 Etzbach Germany,50.7813895,7.6886223,,Industriepark,Industriepark,57539,,Industriepark Etzbach,Landkreis Altenkirchen (Westerwald),Rhineland-Palatinate,,Etzbach,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyrightnan
1341,8001929,NEW,de:09371:18420,Etzelwang,RV,DB Station und Service AG,1727,,56.084830687874025,Hauptstraﬂe 13a 92268 Etzelwang Germany,49.525974,11.586054,13a,,Hauptstraﬂe,92268,Neukirchen b. Sulzbach-Rosenberg,,Amberg-Sulzbach,Bavaria,,Etzelwang,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyrightnan
1342,8001932,NEZ,de:09374:80778,Etzenricht,RV,DB Station und Service AG,1728,,39.940106826306994,Am Bahndamm 2 92694 Etzenricht Germany,49.628397500000005,12.098431655921896,2,,Am Bahndamm,92694,Weiherhammer,Haberstumpfm¸hle,Landkreis Neustadt an der Waldnaab,Bavaria,,Etzenricht,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyrightnan
1343,8001933,TEU,de:08128:13761,Eubigheim,RV,DB Station und Service AG,1730,,4.1484819374007165,Bahnhofstraﬂe 14 74744 Ahorn Germany,49.5016586,9.538095921409981,14,,Bahnhofstraﬂe,74744,Boxberg,,Main-Tauber-Kreis,Baden-W¸rttemberg,BW,Ahorn,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyrightnan
1344,8001935,NEU,de:09672:75197,Euerdorf,nur DPN,DB Station und Service AG,1731,,89.61884741425014,Kissinger Straﬂe 36 97717 Euerdorf Germany,50.150037,10.026649,36,,Kissinger Straﬂe,97717,Euerdorf,,Bad Kissingen,Bavaria,,Euerdorf,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyrightnan
1345,8001941,AEU,de:01055:26265,Eutin,RV,DB Station und Service AG,1736,,10.32578249691857,Bahnhofshalle Eutin Bahnhofstraﬂe 23 23701 Eutin Germany,54.13569575,10.609928911168463,23,Bahnhofshalle Eutin,Bahnhofstraﬂe,23701,Eutin,Hochkamp,Ostholstein,Schleswig-Holstein,SH,Eutin,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1346,8001942,TEB,de:08231:2891,Eutingen(Baden),RV,DB Station und Service AG,1737,,4.349829468925806,Eutingen (Baden) Hauptstraﬂe 75181 Pforzheim Germany,48.9098727,8.7438155,,Eutingen (Baden),Hauptstraﬂe,75181,Eutingen,M‰uerach,Enzkreis,Baden-W¸rttemberg,BW,Pforzheim,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
